1256,1250
1257,1250
4856,4850
8650,8600
8660,8600
8690,8600
8990,8980
9070,9050
10195,10180
10196,10180
10600,10500
10604,10500
10606,10500
10607,10500
10608,10500
10695,10680
10697,10680
15522,15520
16465,16450
16860,8930
16861,8930
16862,8930
16863,8930
16866,8930
16867,8930
16868,8930
16870,8930
18080,18070
18407,18400
18408,18400
18440,18400
18508,18500
18509,18500
18520,18500
18521,18500
18522,18500
18523,18500
22361,22350
22363,22350
22364,22350
22400,22300
22410,22300
22420,22300
22430,22300
22440,22300
22470,22380
22510,22500
22520,22500
22521,22500
22630,22600
22631,22600
22632,22600
22633,22600
22634,22600
23550,23530
23551,23530
23552,23530
23553,23530
24012,24010
24021,24010
24028,24010
24029,24010
24055,24010
24065,24010
24070,24010
24075,24010
24082,24010
24083,24010
24095,24010
24096,24010
24440,24400
24441,24400
24447,24400
24449,24400
24488,24480
24634,24630
24635,24630
24673,24670
24676,24670
24677,24670
24678,24670
24679,24670
24963,24960
25758,25700
25759,25700
25760,25700
25761,25700
25762,25700
25763,25700
25764,25700
25806,25800
25809,25808
25810,25808
25811,25800
25812,25800
25813,25800
25814,25800
25815,25800
25816,25800
25817,25800
25892,25890
25896,25890
25897,25890
25898,25890
25899,25890
25940,25939
25960,25890
25962,25890
25970,25890
26005,26000
26006,26000
26007,26000
26803,26800
28010,28000
28011,28000
28012,28000
33372,33220
33780,33770
33934,33930
34174,34030
34178,34030
34179,34030
34342,201270
34343,201270
34345,201270
34346,34330
34348,201270
34841,34830
34842,34830
35080,8190
35083,8190
35089,8190
35090,8190
35091,8190
35101,8190
35102,8190
35135,35130
35136,35130
35137,35130
35138,35130
35417,1250
35419,1250
35425,1250
35429,1250
38185,34030
38920,38900
38921,38900
38922,38900
38923,38900
38924,38900
39270,39160
40135,40100
40391,40390
40392,40390
40393,40390
40403,40400
40406,40400
40407,40400
